issue_link,ground_truth_patch,is_exec_improvement,functiona difference
https://github.com/keycloak/keycloak/issues/15038,https://github.com/keycloak/keycloak/commit/440077de424eec3f8213d0c5b0c421a16a4649b3,Yes,
https://github.com/apache/dolphinscheduler/issues/1515,https://github.com/apache/dolphinscheduler/commit/67cde18cc314004f8f9fdba6a271850d1be84ca6,Yes,
https://github.com/spring-projects/spring-batch/issues/4657,https://github.com/spring-projects/spring-batch/commit/5a62de9031923aac0e76fc52b972ee2aafdd00c3,Yes,
https://github.com/apache/incubator-baremaps/issues/98,https://github.com/apache/incubator-baremaps/commit/0d0dd7d92354419ea1014574d6014894e7e0c8ef,Yes,**
https://github.com/keycloak/keycloak/issues/17711,https://github.com/keycloak/keycloak/pull/8047/changes,Yes,
https://github.com/arthurgregorio/web-budget/issues/326,https://github.com/arthurgregorio/web-budget/commit/b75a3525b486d39671d1233078a42324cc342a1b,Yes,
https://github.com/keycloak/keycloak/issues/43698,https://github.com/keycloak/keycloak/commit/47288a96439bb3e6db587ea37ceece7e96665320,Yes,
https://github.com/liquibase/liquibase/issues/3791,https://github.com/liquibase/liquibase/pull/3813/changes,Yes,
https://github.com/eclipse-lemminx/lemminx/issues/328,https://github.com/eclipse-lemminx/lemminx/pull/330/changes,Yes,**
https://github.com/neo4j/neo4j-ogm/issues/854,https://github.com/neo4j/neo4j-ogm/commit/81bf93a9547f41aa02552b80642cc1b03bdd1e2d,Yes,
https://github.com/spring-projects/spring-data-keyvalue/issues/196,https://github.com/spring-projects/spring-data-keyvalue/commit/5643799128477e831487874501817db6bba4f2d0,No,
https://github.com/kubernetes-client/java/issues/842,https://github.com/kubernetes-client/java/pull/843/changes,Yes,
https://github.com/neo4j/neo4j-ogm/issues/738,https://github.com/neo4j/neo4j-ogm/commit/2df1b3d6d5f96c8202afe760ef41da4af84d0b76,Yes,
https://github.com/keycloak/keycloak/issues/9563,https://github.com/keycloak/keycloak/commit/8d3a4803bbb17f39ee8fd60f8a192a6c47fb2247,Yes,
https://github.com/spring-cloud/spring-cloud-circuitbreaker/issues/96,https://github.com/spring-cloud/spring-cloud-circuitbreaker/commit/7a9b097e0be96c8954924f4b6aa550e6ac3862fe,Yes,
https://github.com/spring-projects/spring-retry/issues/212,https://github.com/spring-projects/spring-retry/commit/8b87e8a646712b8c33e82d7765978d4299214020,Yes,**
https://github.com/apache/shardingsphere/issues/3979,https://github.com/apache/shardingsphere/pull/3988/changes,Yes,
https://github.com/apache/incubator-seata/issues/753,https://github.com/apache/incubator-seata/commit/ec72f20649fc4506b3e4d59944a0c9a3ea3eb03a,Yes,
https://github.com/apache/pulsar/issues/18279,https://github.com/apache/pulsar/pull/18278/changes,No,
https://github.com/keycloak/keycloak/issues/12280,https://github.com/keycloak/keycloak/commit/1ac76fde5986d78f34f6a73cd157487bc26d8b36,Yes,
https://github.com/keycloak/keycloak/issues/35796,https://github.com/keycloak/keycloak/commit/a43b65281d6f3631366b71858cad25676aaf635d,Yes,
https://github.com/Altinity/ice/issues/2,https://github.com/Altinity/ice/pull/24/changes,Yes,
https://github.com/jgitver/jgitver/issues/68,https://github.com/jgitver/jgitver/commit/1a6d580d034d98b0ffbf4a1d18f1a206be9da64d,Yes,
https://github.com/apache/dubbo/issues/9829,https://github.com/apache/dubbo/commit/06618160e76e134182a920d84a6b7234fe0350fd,Yes,
https://github.com/flyway/flyway/issues/3024,https://github.com/flyway/flyway/commit/631cd769f7416d453470587036cb38dcf95f70b6,Yes,
https://github.com/keycloak/keycloak/issues/38552,https://github.com/keycloak/keycloak/commit/9ce4539d2290a64bfaca96abd544f3dc5d22c7a3,Yes,
https://github.com/apache/shiro/issues/1762,https://github.com/apache/shiro/pull/1727/changes,Yes,
https://github.com/cloudsimplus/cloudsimplus/issues/323,https://github.com/cloudsimplus/cloudsimplus/commit/08a626a00a068def645f9b49e29beb1932a4ec9f,Yes,**
https://github.com/keycloak/keycloak/issues/29319,https://github.com/keycloak/keycloak/commit/673e122443f3bd535563a28e50ca55bdb63d0ff7,Yes,
https://github.com/liquibase/liquibase/issues/1856,https://github.com/liquibase/liquibase/pull/3063/changes,Yes,
https://github.com/keycloak/keycloak/issues/14084,https://github.com/keycloak/keycloak/commit/69ba92808dc90292e62ab2767fc0f05241cbb08a,Yes,
https://github.com/classgraph/classgraph/issues/8,https://github.com/classgraph/classgraph/commit/c3d17d57ea66c3824d75d760adf8b77ad46d4fcf,Yes,
https://github.com/iluwatar/java-design-patterns/issues/883,https://github.com/iluwatar/java-design-patterns/commit/ccb257d5250f15061499dbb63aeba1057bafc963,Yes,
https://github.com/quarkusio/quarkus/issues/10966,https://github.com/quarkusio/quarkus/pull/10978/changes,Yes,**
https://github.com/apache/shardingsphere/issues/2153,https://github.com/apache/shardingsphere/commit/8b99619f43ae941b85518222e651a5869f2e36da,Yes,
https://github.com/keycloak/keycloak/issues/12280,https://github.com/keycloak/keycloak/commit/02a69561b56a77a916e69bc7b3ea083660e3bdf4,Yes,
https://github.com/spring-projects/spring-data-cassandra/issues/1218,https://github.com/spring-projects/spring-data-cassandra/commit/2b49f2c50a284ee9daeaf150274c200fe0e4fddb,Yes,
https://github.com/spacious-team/investbook/issues/294,https://github.com/spacious-team/investbook/commit/1a3206c638e5870a01c5a993d9140b76908d7a7f,Yes,
